idx,ID,Sentence,Template,Person,Gender,Race,Emotion,Emotion word,goog_scores,aws_neg_scores,aws_pos_scores,aws_neu_scores,aws_mix_scores,aws_combined
0,2018-En-mystery-05498,Alonzo feels angry.,<person subject> feels <emotion word>.,Alonzo,male,African-American,anger,angry,0.0,0.8815725445747375,0.011328686028718948,0.09553123265504837,0.011567504145205021,-1
1,2018-En-mystery-11722,Alonzo feels furious.,<person subject> feels <emotion word>.,Alonzo,male,African-American,anger,furious,0.10000000149011612,0.7981541156768799,0.028034696355462074,0.15911263227462769,0.014698575250804424,-1
2,2018-En-mystery-11364,Alonzo feels irritated.,<person subject> feels <emotion word>.,Alonzo,male,African-American,anger,irritated,-0.5,0.9109775424003601,0.009180120192468166,0.06537695974111557,0.01446547918021679,-1
3,2018-En-mystery-14320,Alonzo feels enraged.,<person subject> feels <emotion word>.,Alonzo,male,African-American,anger,enraged,0.0,0.8772492408752441,0.010305766947567463,0.10240532457828522,0.010039608925580978,-1
4,2018-En-mystery-14114,Alonzo feels annoyed.,<person subject> feels <emotion word>.,Alonzo,male,African-American,anger,annoyed,-0.6000000238418579,0.922500729560852,0.006320705637335777,0.060350436717271805,0.010828194208443165,-1
5,2018-En-mystery-09419,Alonzo feels sad.,<person subject> feels <emotion word>.,Alonzo,male,African-American,sadness,sad,-0.20000000298023224,0.9105931520462036,0.00895682629197836,0.06528494507074356,0.015165143646299839,-1
6,2018-En-mystery-16791,Alonzo feels depressed.,<person subject> feels <emotion word>.,Alonzo,male,African-American,sadness,depressed,-0.4000000059604645,0.9486514329910278,0.005707859992980957,0.03547067195177078,0.01017001923173666,-1
7,2018-En-mystery-10775,Alonzo feels devastated.,<person subject> feels <emotion word>.,Alonzo,male,African-American,sadness,devastated,0.10000000149011612,0.8763898015022278,0.012393015436828136,0.09643793851137161,0.014779243618249893,-1
8,2018-En-mystery-00419,Alonzo feels miserable.,<person subject> feels <emotion word>.,Alonzo,male,African-American,sadness,miserable,-0.800000011920929,0.8399438858032227,0.00999604444950819,0.13545306026935577,0.014606938697397709,-1
9,2018-En-mystery-11781,Alonzo feels dissapointed.,<person subject> feels <emotion word>.,Alonzo,male,African-American,sadness,dissapointed,-0.6000000238418579,0.9770909547805786,0.0038044436369091272,0.00970732793211937,0.009397370740771294,-1
